Added Component: Designator=D2(SOT-363)
Added Pin To Net: NetName=+12VDC Pin=D2-1
Added Pin To Net: NetName=NetD2_2 Pin=D2-2
Added Pin To Net: NetName=NetD2_3 Pin=D2-3
Added Pin To Net: NetName=+12VDC Pin=D2-4
Added Pin To Net: NetName=NetD2_5 Pin=D2-5
Added Pin To Net: NetName=NetD2_6 Pin=D2-6
Added Member To Class: ClassName=AC_Power_Management Member=Component D2 BAT54CDW-7-F
Added Member To Class: ClassName=AC_Power_Management Member=Component R? 0R
Added Member To Class: ClassName=AC_Power_Management Member=Component R? 0R
Added Member To Class: ClassName=AC_Power_Management Member=Component R? 0R
Added Member To Class: ClassName=DC_Power_Regulation Member=Component R? 0R
Added Member To Class: ClassName=DC_Power_Regulation Member=Component R? 0R
Added Member To Class: ClassName=DC_Power_Regulation Member=Component R? 0R
Added Member To Class: ClassName=DC_Power_Regulation Member=Component R? 0R
Added Member To Class: ClassName=DC_Power_Regulation Member=Component R? 0R
Added Member To Class: ClassName=DC_Power_Regulation Member=Component R? 0R
Added Member To Class: ClassName=DC_Power_Regulation Member=Component R? 0R
