Comment,Description,Designator,Footprint,LibRef,Quantity,"LCSC Part #"
"10u","","C2","CAP_0805","CAP_0805","1","C39060"
"100n","","C3, C6, C7, C8, C9","CAP_0402","CAP_0402","5","C343042"
"22u","","C4, C5","CAP_0805","CAP_0805","2","C338078"
"GREEN","LED 0805 GREEN SMD","D1, D3, D4, D5","LED_0805_GREEN","LED_0805_GREEN","4","C2297"
"BAT54CDW-7-F","2 Pairs of Common Cathode Diodes in SOT363 Package BAT54CDW-7-F","D2","SOT-363","BAT54CDW-7-F","1","C134406"
"15Vrwm","ESD protection (TVS) diode in SOD523 package","D6","SOD523","PESD15VS1UB,115","1","C139560"
"SRD-12VDC-S L-A","","K1, K2, K3, K4","SRD-12VDC-S L","SRD-12VDC-S L-A","4","C30431"
"4u7","Inductor SMD 0603","L1","IND_0603","IND_0603","1","C29682"
"6N136SMT/R","Optocouplers SMD-8 RoHS. SOP-8-2.54mm Package","OP1, OP2, OP3, OP4","SOP-8-2.54MM","6N136SMT/R","4","C94862"
"NTJD5121NT1G","2 NMOSFETs SOT-363","Q1, Q2, Q3, Q4, Q5, Q6","SOT-363","NTJD5121NT1G","6","C15215"
"50R","Resistor SMD 0402 (0.0625W)","R1, R4, R7, R10","RES_0402","RES_0402","4","C276174"
"1k","Resistor SMD 0402 (0.0625W)","R2, R5, R8, R11, R13, R15, R17, R19, R21, R23, R25, R27","RES_0402","RES_0402","12","C242161"
"10k","Resistor SMD 0402 (0.0625W)","R3, R6, R9, R12, R14, R16, R18, R20, R22, R24, R26, R28","RES_0402","RES_0402","12","C2838653"
"0R","Resistor SMD 0402 (0.0625W)","R29, R30, R31, R32","RES_0402","RES_0402","4","C325377"
"3.3V Switch Reg","IC REG BUCK 3.3V 2A TSOT23-6","U1","AP63203WU-7","AP63203WU-7","1","C780769"
"9V Lin Reg 1A","IC REG LINEAR 9V 1A TO220AB","U2","MC7809CTG","MC7809CTG","1","C126395"
