Altium Designer Pick and Place Locations
C:\Users\olive\Documents\IoT_Hydroponics_Electronics\PEAK_PDB\Project Outputs for PEAK_PDB\Pick Place for PEAK_PDB.csv

========================================================================================================================
File Design Information:

Date:       04/12/23
Time:       05:16
Revision:   31e8829516c71113c13b92c0b3cfb79066b41aca
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"D6","15Vrwm","TopLayer","SOD523","22.8600","44.0070","270","ESD protection (TVS) diode in SOD523 package"
"C10","100u","TopLayer","CAP_EEH-ZA1V151P_PAN","31.3690","52.9590","90",""
"OP2","6N136SMT/R","TopLayer","SOP-8-2.54MM","42.4820","56.7690","0","Optocouplers SMD-8 RoHS. SOP-8-2.54mm Package"
"D2","BAT54CDW-7-F","TopLayer","SOT-363","49.5300","69.4690","0","2 Pairs of Common Cathode Diodes in SOT363 Package BAT54CDW-7-F"
"U2","9V Lin Reg 1A","TopLayer","MC7809CTG","19.1262","54.2036","180","IC REG LINEAR 9V 1A TO220AB"
"J10","Header 3X2","TopLayer","HDR2X3","19.0500","98.1710","90","Header, 3-Pin, Dual row"
"J9","Header 10","TopLayer","HDR1X10","16.5100","70.7390","90","Header, 10-Pin"
"J8","Header 2X2","TopLayer","HDR2X2","26.1620","108.4580","0","Header, 2-Pin, Dual row"
"R17","1k","TopLayer","RES_0402","20.5740","72.0090","0","Resistor SMD 0402 (0.0625W)"
"R15","1k","TopLayer","RES_0402","20.5740","74.5490","0","Resistor SMD 0402 (0.0625W)"
"R13","1k","TopLayer","RES_0402","20.5660","77.0890","0","Resistor SMD 0402 (0.0625W)"
"R18","10k","TopLayer","RES_0402","42.9260","102.7430","180","Resistor SMD 0402 (0.0625W)"
"R20","10k","TopLayer","RES_0402","42.0450","98.2980","0","Resistor SMD 0402 (0.0625W)"
"R22","10k","TopLayer","RES_0402","47.9044","100.5332","180","Resistor SMD 0402 (0.0625W)"
"R25","1k","TopLayer","RES_0402","16.6370","86.9950","90","Resistor SMD 0402 (0.0625W)"
"R26","10k","TopLayer","RES_0402","27.0510","87.2490","90","Resistor SMD 0402 (0.0625W)"
"R27","1k","TopLayer","RES_0402","20.5740","79.5020","0","Resistor SMD 0402 (0.0625W)"
"R28","10k","TopLayer","RES_0402","22.4790","88.7730","270","Resistor SMD 0402 (0.0625W)"
"R19","1k","TopLayer","RES_0402","20.5740","69.4690","0","Resistor SMD 0402 (0.0625W)"
"R24","10k","TopLayer","RES_0402","46.7360","95.3770","0","Resistor SMD 0402 (0.0625W)"
"R16","10k","TopLayer","RES_0402","37.2110","96.7740","0","Resistor SMD 0402 (0.0625W)"
"R23","1k","TopLayer","RES_0402","20.4470","64.3890","0","Resistor SMD 0402 (0.0625W)"
"R14","10k","TopLayer","RES_0402","38.3087","101.7562","180","Resistor SMD 0402 (0.0625W)"
"R21","1k","TopLayer","RES_0402","20.5660","66.9290","0","Resistor SMD 0402 (0.0625W)"
"Q6","NTJD5121NT1G","TopLayer","SOT-363","24.7650","87.8840","270","2 NMOSFETs SOT-363"
"Q5","NTJD5121NT1G","TopLayer","SOT-363","47.2440","97.7240","0","2 NMOSFETs SOT-363"
"Q4","NTJD5121NT1G","TopLayer","SOT-363","42.4097","100.4307","0","2 NMOSFETs SOT-363"
"Q3","NTJD5121NT1G","TopLayer","SOT-363","37.7823","99.2060","0","2 NMOSFETs SOT-363"
"U1","3.3V Switch Reg","TopLayer","AP63203WU-7","26.7018","99.8830","0","IC REG BUCK 3.3V 2A TSOT23-6"
"R29","0R","TopLayer","RES_0402","51.1810","45.3390","270","Resistor SMD 0402 (0.0625W)"
"R31","0R","TopLayer","RES_0402","58.9280","73.2790","0","Resistor SMD 0402 (0.0625W)"
"R32","0R","TopLayer","RES_0402","49.0220","92.0750","0","Resistor SMD 0402 (0.0625W)"
"R30","0R","TopLayer","RES_0402","53.5940","54.7370","0","Resistor SMD 0402 (0.0625W)"
"J7","Header 6X2","TopLayer","HDR2X6","40.0050","108.4580","0","Header, 6-Pin, Dual row"
"L1","4u7","TopLayer","IND_0603","30.9118","98.0694","0","Inductor SMD 0603"
"C9","100n","TopLayer","CAP_0402","49.7840","86.8680","0",""
"C7","100n","TopLayer","CAP_0402","49.1450","56.0030","0",""
"C8","100n","TopLayer","CAP_0402","41.4100","74.1680","0",""
"C6","100n","TopLayer","CAP_0402","40.1320","45.2120","90",""
"C2","10u","TopLayer","CAP_0805","24.0030","96.1390","90",""
"C5","22u","TopLayer","CAP_0805","31.2420","93.2180","90",""
"C4","22u","TopLayer","CAP_0805","28.7020","93.2180","90",""
"C3","100n","TopLayer","CAP_0402","29.8196","100.3380","90",""
"J1","694106301002","TopLayer","694106301002","31.7920","42.2910","90","Header, 3-Pin"
"J5","Terminal Block","TopLayer","25-E400-02","80.0000","99.8580","270","Header, 2-Pin"
"J3","Terminal Block","TopLayer","25-E400-02","80.0000","64.0490","270","Header, 2-Pin"
"J4","Terminal Block","TopLayer","25-E400-02","80.1370","82.1690","270","Header, 2-Pin"
"J2","Terminal Block","TopLayer","25-E400-02","80.0000","45.7000","270","Header, 2-Pin"
"J6","Header 4","TopLayer","HDR1X4","17.9070","44.8310","270","Header, 4-Pin"
"R12","10k","TopLayer","RES_0402","49.9110","78.7400","270","Resistor SMD 0402 (0.0625W)"
"R11","1k","TopLayer","RES_0402","49.5300","76.0730","0","Resistor SMD 0402 (0.0625W)"
"R10","50R","TopLayer","RES_0402","81.5000","91.1120","180","Resistor SMD 0402 (0.0625W)"
"R9","10k","TopLayer","RES_0402","43.5770","70.1040","180","Resistor SMD 0402 (0.0625W)"
"R8","1k","TopLayer","RES_0402","41.6720","67.7680","0","Resistor SMD 0402 (0.0625W)"
"R7","50R","TopLayer","RES_0402","82.1270","74.1600","180","Resistor SMD 0402 (0.0625W)"
"R6","10k","TopLayer","RES_0402","46.9900","49.7840","0","Resistor SMD 0402 (0.0625W)"
"R5","1k","TopLayer","RES_0402","46.9820","51.0540","0","Resistor SMD 0402 (0.0625W)"
"R4","50R","TopLayer","RES_0402","81.5000","55.0490","180","Resistor SMD 0402 (0.0625W)"
"R3","10k","TopLayer","RES_0402","43.9420","46.6090","0","Resistor SMD 0402 (0.0625W)"
"R2","1k","TopLayer","RES_0402","45.7200","46.0930","90","Resistor SMD 0402 (0.0625W)"
"R1","50R","TopLayer","RES_0402","42.0370","49.0220","180","Resistor SMD 0402 (0.0625W)"
"Q2","NTJD5121NT1G","TopLayer","SOT-363","47.4370","66.0550","90","2 NMOSFETs SOT-363"
"Q1","NTJD5121NT1G","TopLayer","SOT-363","50.5460","49.0220","180","2 NMOSFETs SOT-363"
"OP4","6N136SMT/R","TopLayer","SOP-8-2.54MM","43.5610","82.6140","270","Optocouplers SMD-8 RoHS. SOP-8-2.54mm Package"
"OP3","6N136SMT/R","TopLayer","SOP-8-2.54MM","34.3530","71.3740","0","Optocouplers SMD-8 RoHS. SOP-8-2.54mm Package"
"OP1","6N136SMT/R","TopLayer","SOP-8-2.54MM","43.9420","38.1630","90","Optocouplers SMD-8 RoHS. SOP-8-2.54mm Package"
"K4","SRD-12VDC-S L-A","TopLayer","SRD-12VDC-S_L","62.9000","99.8580","0",""
"K3","SRD-12VDC-S L-A","TopLayer","SRD-12VDC-S_L","63.0270","82.5250","0",""
"K2","SRD-12VDC-S L-A","TopLayer","SRD-12VDC-S_L","62.9000","64.0490","0",""
"K1","SRD-12VDC-S L-A","TopLayer","SRD-12VDC-S_L","62.9000","45.7000","0",""
"D5","GREEN","TopLayer","LED_0402_GREEN","77.5000","91.1120","0","LED 0402 GREEN SMD"
"D4","GREEN","TopLayer","LED_0402_GREEN","77.5970","74.1680","0","LED 0402 GREEN SMD"
"D3","GREEN","TopLayer","LED_0402_GREEN","77.5000","55.0490","0","LED 0402 GREEN SMD"
"D1","GREEN","TopLayer","LED_0402_GREEN","38.8620","49.0220","0","LED 0402 GREEN SMD"
